PRODUCT ID,PRODUCT DESCRIPTION,REVIEW ID
1,High-quality smartphone with excellent camera.,R1
1,High-quality smartphone with excellent camera.,R2
2,Durable laptop with long BATTERY life.,R3
2,Durable laptop with long BATTERY life.,R4
3,Wireless noise-canceling AirPods.,R5
3,Wireless noise-canceling AirPods.,R6
4,Smartwatch with various health tracking features.,R7
4,Smartwatch with various health tracking features.,R8
5,Portable Bluetooth speaker with rich sound.,R9
5,Portable Bluetooth speaker with rich sound.,R10
6,High-resolution monitor with wide viewing angles.,R11
6,High-resolution monitor with wide viewing angles.,R12
7,Fast and reliable external hard drive.,R13
7,Fast and reliable external hard drive.,R14
8,Compact digital camera with 4K video recording.,R15
8,Compact digital camera with 4K video recording.,R16
9,Ergonomic mechanical keyboard.,R17
9,Ergonomic mechanical keyboard.,R18
10,Versatile multi-port USB charger.,R19
10,Versatile multi-port USB charger.,R20
